kegg	drugbank
D09720	DB08864
D09731	DB08865
D09567	DB08867
D10001	DB08868
D09015	DB08869
D09587	DB08870
D08914	DB08871
D09539	DB08872
D08876	DB08873
D09394	DB08874
D10062	DB08875
D09675	DB08876
D09959	DB08877
D02527	DB08878
D03068	DB08879
D10172	DB08880
D09996	DB08881
D09566	DB08882
D08964	DB08883
D04288	DB08884
D09574	DB08885
D02997	DB08886
D01892	DB08887
D09646	DB08888
D08880	DB08889
D09355	DB08890
D08861	DB08892
D09535	DB08893
D09947	DB08894
D09970	DB08895
D10138	DB08896
D08837	DB08897
D10260	DB08898
D10218	DB08899
D06053	DB08900
